experiment,dataset,kernel,C,gamma,degree,test_accuracy,training_time_ms,n_support_vectors
MNIST_SVM_poly_C0.1_gammascale_deg2,MNIST,poly,0.1,scale,2.0,94.1,839631.4334869385,30026
MNIST_SVM_poly_C0.1_gammascale_deg3,MNIST,poly,0.1,scale,3.0,86.29,1454665.335893631,39372
MNIST_SVM_poly_C0.1_gammascale_deg4,MNIST,poly,0.1,scale,4.0,59.209999999999994,2049577.9874324799,47787
MNIST_SVM_poly_C0.1_gammaauto_deg2,MNIST,poly,0.1,auto,2.0,93.49,914155.5843353271,31710
MNIST_SVM_poly_C0.1_gammaauto_deg3,MNIST,poly,0.1,auto,3.0,83.66,1609280.7171344757,42067
MNIST_SVM_poly_C0.1_gammaauto_deg4,MNIST,poly,0.1,auto,4.0,47.43,2161517.1117782593,49675
MNIST_SVM_poly_C0.1_gamma0.001_deg2,MNIST,poly,0.1,0.001,2.0,91.95,1130358.1669330597,36138
MNIST_SVM_poly_C0.1_gamma0.001_deg3,MNIST,poly,0.1,0.001,3.0,74.16,1988409.8191261292,48088
MNIST_SVM_poly_C0.1_gamma0.001_deg4,MNIST,poly,0.1,0.001,4.0,32.95,2429273.534297943,53300
MNIST_SVM_poly_C0.1_gamma0.01_deg2,MNIST,poly,0.1,0.01,2.0,97.45,223731.86445236206,13422
MNIST_SVM_poly_C0.1_gamma0.01_deg3,MNIST,poly,0.1,0.01,3.0,97.89999999999999,334049.90124702454,15167
MNIST_SVM_poly_C0.1_gamma0.01_deg4,MNIST,poly,0.1,0.01,4.0,96.83,536956.9432735443,18558
MNIST_SVM_poly_C1_gammascale_deg2,MNIST,poly,1.0,scale,2.0,96.92,322588.87910842896,16466
MNIST_SVM_poly_C1_gammascale_deg3,MNIST,poly,1.0,scale,3.0,95.83,592604.8040390015,21544
MNIST_SVM_poly_C1_gammascale_deg4,MNIST,poly,1.0,scale,4.0,89.01,1128233.618736267,31260
MNIST_SVM_poly_C1_gammaauto_deg2,MNIST,poly,1.0,auto,2.0,96.85000000000001,345066.8525695801,17179
MNIST_SVM_poly_C1_gammaauto_deg3,MNIST,poly,1.0,auto,3.0,95.36,657996.5035915375,23114
MNIST_SVM_poly_C1_gammaauto_deg4,MNIST,poly,1.0,auto,4.0,86.67,1265291.3205623627,34179
MNIST_SVM_poly_C1_gamma0.001_deg2,MNIST,poly,1.0,0.001,2.0,96.50999999999999,409526.80230140686,19264
MNIST_SVM_poly_C1_gamma0.001_deg3,MNIST,poly,1.0,0.001,3.0,93.60000000000001,875163.5293960571,28122
MNIST_SVM_poly_C1_gamma0.001_deg4,MNIST,poly,1.0,0.001,4.0,77.77,1670007.7788829803,41795
MNIST_SVM_poly_C1_gamma0.01_deg2,MNIST,poly,1.0,0.01,2.0,97.52,203689.49794769287,12899
MNIST_SVM_poly_C1_gamma0.01_deg3,MNIST,poly,1.0,0.01,3.0,97.94,332019.3636417389,15189
MNIST_SVM_poly_C1_gamma0.01_deg4,MNIST,poly,1.0,0.01,4.0,96.85000000000001,537550.0218868256,18565
MNIST_SVM_poly_C10_gammascale_deg2,MNIST,poly,10.0,scale,2.0,97.50999999999999,212703.59349250793,13096
MNIST_SVM_poly_C10_gammascale_deg3,MNIST,poly,10.0,scale,3.0,97.64,351665.99917411804,15462
MNIST_SVM_poly_C10_gammascale_deg4,MNIST,poly,10.0,scale,4.0,96.03,613551.278591156,20199
MNIST_SVM_poly_C10_gammaauto_deg2,MNIST,poly,10.0,auto,2.0,97.46000000000001,213249.2060661316,13178
MNIST_SVM_poly_C10_gammaauto_deg3,MNIST,poly,10.0,auto,3.0,97.61999999999999,358474.7579097748,15683
MNIST_SVM_poly_C10_gammaauto_deg4,MNIST,poly,10.0,auto,4.0,95.54,656864.8176193237,21257
MNIST_SVM_poly_C10_gamma0.001_deg2,MNIST,poly,10.0,0.001,2.0,97.45,223472.01895713806,13422
MNIST_SVM_poly_C10_gamma0.001_deg3,MNIST,poly,10.0,0.001,3.0,97.25,407601.6035079956,16801
MNIST_SVM_poly_C10_gamma0.001_deg4,MNIST,poly,10.0,0.001,4.0,93.27,870712.1570110321,25309
MNIST_SVM_poly_C10_gamma0.01_deg2,MNIST,poly,10.0,0.01,2.0,97.48,203654.22677993774,12902
MNIST_SVM_poly_C10_gamma0.01_deg3,MNIST,poly,10.0,0.01,3.0,97.94,331683.9761734009,15189
MNIST_SVM_poly_C10_gamma0.01_deg4,MNIST,poly,10.0,0.01,4.0,96.85000000000001,532788.1636619568,18565
MNIST_SVM_rbf_C0.1_gammascale,MNIST,rbf,0.1,scale,,93.4,557587.2070789337,25282
MNIST_SVM_rbf_C0.1_gammaauto,MNIST,rbf,0.1,auto,,93.43,579581.1297893524,25350
MNIST_SVM_rbf_C0.1_gamma0.001,MNIST,rbf,0.1,0.001,,93.54,570734.4300746918,25819
MNIST_SVM_rbf_C0.1_gamma0.01,MNIST,rbf,0.1,0.01,,65.96,2105207.428455353,45105
MNIST_SVM_rbf_C1_gammascale,MNIST,rbf,1.0,scale,,96.5,336559.87429618835,15484
MNIST_SVM_rbf_C1_gammaauto,MNIST,rbf,1.0,auto,,96.49,320190.4466152191,15339
MNIST_SVM_rbf_C1_gamma0.001,MNIST,rbf,1.0,0.001,,96.27,296986.3429069519,15152
MNIST_SVM_rbf_C1_gamma0.01,MNIST,rbf,1.0,0.01,,85.13,1998482.4709892273,36734
MNIST_SVM_rbf_C10_gammascale,MNIST,rbf,10.0,scale,,97.26,278479.7468185425,14535
MNIST_SVM_rbf_C10_gammaauto,MNIST,rbf,10.0,auto,,97.28,261179.59332466125,14114
MNIST_SVM_rbf_C10_gamma0.001,MNIST,rbf,10.0,0.001,,97.18,225985.43572425842,13104
MNIST_SVM_rbf_C10_gamma0.01,MNIST,rbf,10.0,0.01,,86.27,1995558.8467121124,36931
FashionMNIST_SVM_poly_C0.1_gammascale_deg2,FashionMNIST,poly,0.1,scale,2.0,84.42,547342.741727829,29756
FashionMNIST_SVM_poly_C0.1_gammascale_deg3,FashionMNIST,poly,0.1,scale,3.0,82.03,642018.9790725708,30997
FashionMNIST_SVM_poly_C0.1_gammascale_deg4,FashionMNIST,poly,0.1,scale,4.0,75.64999999999999,925177.072763443,34412
FashionMNIST_SVM_poly_C0.1_gammaauto_deg2,FashionMNIST,poly,0.1,auto,2.0,84.42,548140.1207447052,29756
FashionMNIST_SVM_poly_C0.1_gammaauto_deg3,FashionMNIST,poly,0.1,auto,3.0,82.03,642327.6731967926,30997
FashionMNIST_SVM_poly_C0.1_gammaauto_deg4,FashionMNIST,poly,0.1,auto,4.0,75.64999999999999,918118.1259155273,34412
FashionMNIST_SVM_poly_C0.1_gamma0.001_deg2,FashionMNIST,poly,0.1,0.001,2.0,82.62,647273.8144397736,32153
FashionMNIST_SVM_poly_C0.1_gamma0.001_deg3,FashionMNIST,poly,0.1,0.001,3.0,78.36,821736.5458011627,34662
FashionMNIST_SVM_poly_C0.1_gamma0.001_deg4,FashionMNIST,poly,0.1,0.001,4.0,69.69,1230680.9437274933,39501
FashionMNIST_SVM_poly_C0.1_gamma0.01_deg2,FashionMNIST,poly,0.1,0.01,2.0,90.07,250089.68496322632,19414
FashionMNIST_SVM_poly_C0.1_gamma0.01_deg3,FashionMNIST,poly,0.1,0.01,3.0,90.29,274542.41013526917,20072
FashionMNIST_SVM_poly_C0.1_gamma0.01_deg4,FashionMNIST,poly,0.1,0.01,4.0,89.67,343277.8182029724,21120
FashionMNIST_SVM_poly_C1_gammascale_deg2,FashionMNIST,poly,1.0,scale,2.0,88.88000000000001,303085.04366874695,21926
FashionMNIST_SVM_poly_C1_gammascale_deg3,FashionMNIST,poly,1.0,scale,3.0,88.49000000000001,346659.8811149597,22940
FashionMNIST_SVM_poly_C1_gammascale_deg4,FashionMNIST,poly,1.0,scale,4.0,85.67,500918.9143180847,25479
FashionMNIST_SVM_poly_C1_gammaauto_deg2,FashionMNIST,poly,1.0,auto,2.0,88.88000000000001,304159.4805717468,21926
FashionMNIST_SVM_poly_C1_gammaauto_deg3,FashionMNIST,poly,1.0,auto,3.0,88.49000000000001,349759.87219810486,22940
FashionMNIST_SVM_poly_C1_gammaauto_deg4,FashionMNIST,poly,1.0,auto,4.0,85.68,504498.03280830383,25479
FashionMNIST_SVM_poly_C1_gamma0.001_deg2,FashionMNIST,poly,1.0,0.001,2.0,88.4,335970.3109264374,23130
FashionMNIST_SVM_poly_C1_gamma0.001_deg3,FashionMNIST,poly,1.0,0.001,3.0,86.99,413641.0081386566,24807
FashionMNIST_SVM_poly_C1_gamma0.001_deg4,FashionMNIST,poly,1.0,0.001,4.0,82.22,641515.7959461212,28660
FashionMNIST_SVM_poly_C1_gamma0.01_deg2,FashionMNIST,poly,1.0,0.01,2.0,89.68,253785.1767539978,18917
FashionMNIST_SVM_poly_C1_gamma0.01_deg3,FashionMNIST,poly,1.0,0.01,3.0,89.98,279279.99353408813,20071
FashionMNIST_SVM_poly_C1_gamma0.01_deg4,FashionMNIST,poly,1.0,0.01,4.0,89.71000000000001,348479.5832633972,21070
FashionMNIST_SVM_poly_C10_gammascale_deg2,FashionMNIST,poly,10.0,scale,2.0,90.21000000000001,252635.7913017273,19113
FashionMNIST_SVM_poly_C10_gammascale_deg3,FashionMNIST,poly,10.0,scale,3.0,90.19,284770.92695236206,20043
FashionMNIST_SVM_poly_C10_gammascale_deg4,FashionMNIST,poly,10.0,scale,4.0,89.32,372995.88203430176,21844
FashionMNIST_SVM_poly_C10_gammaauto_deg2,FashionMNIST,poly,10.0,auto,2.0,90.21000000000001,251720.5204963684,19114
FashionMNIST_SVM_poly_C10_gammaauto_deg3,FashionMNIST,poly,10.0,auto,3.0,90.19,283098.153591156,20044
FashionMNIST_SVM_poly_C10_gammaauto_deg4,FashionMNIST,poly,10.0,auto,4.0,89.32,371571.031332016,21844
FashionMNIST_SVM_poly_C10_gamma0.001_deg2,FashionMNIST,poly,10.0,0.001,2.0,90.07,255732.35702514648,19414
FashionMNIST_SVM_poly_C10_gamma0.001_deg3,FashionMNIST,poly,10.0,0.001,3.0,89.97,291784.53493118286,20458
FashionMNIST_SVM_poly_C10_gamma0.001_deg4,FashionMNIST,poly,10.0,0.001,4.0,88.22,406621.9141483307,22726
FashionMNIST_SVM_poly_C10_gamma0.01_deg2,FashionMNIST,poly,10.0,0.01,2.0,89.25,257066.00213050842,18819
FashionMNIST_SVM_poly_C10_gamma0.01_deg3,FashionMNIST,poly,10.0,0.01,3.0,89.98,280376.6713142395,20071
FashionMNIST_SVM_poly_C10_gamma0.01_deg4,FashionMNIST,poly,10.0,0.01,4.0,89.71000000000001,348555.58609962463,21070
FashionMNIST_SVM_rbf_C0.1_gammascale,FashionMNIST,rbf,0.1,scale,,85.38,452254.3075084686,28312
FashionMNIST_SVM_rbf_C0.1_gammaauto,FashionMNIST,rbf,0.1,auto,,85.38,453349.95913505554,28312
FashionMNIST_SVM_rbf_C0.1_gamma0.001,FashionMNIST,rbf,0.1,0.001,,85.18,442199.1946697235,28544
FashionMNIST_SVM_rbf_C0.1_gamma0.01,FashionMNIST,rbf,0.1,0.01,,66.02,1732800.0156879425,44877
FashionMNIST_SVM_rbf_C1_gammascale,FashionMNIST,rbf,1.0,scale,,89.25999999999999,285977.6029586792,21641
FashionMNIST_SVM_rbf_C1_gammaauto,FashionMNIST,rbf,1.0,auto,,89.27000000000001,285379.362821579,21640
FashionMNIST_SVM_rbf_C1_gamma0.001,FashionMNIST,rbf,1.0,0.001,,89.02,269671.43177986145,21572
FashionMNIST_SVM_rbf_C1_gamma0.01,FashionMNIST,rbf,1.0,0.01,,80.5,1480725.0893115997,38358
FashionMNIST_SVM_rbf_C10_gammascale,FashionMNIST,rbf,10.0,scale,,90.31,272679.5291900635,20780
FashionMNIST_SVM_rbf_C10_gammaauto,FashionMNIST,rbf,10.0,auto,,90.31,272804.01945114136,20782
FashionMNIST_SVM_rbf_C10_gamma0.001,FashionMNIST,rbf,10.0,0.001,,90.18,247542.41228103638,19960
FashionMNIST_SVM_rbf_C10_gamma0.01,FashionMNIST,rbf,10.0,0.01,,81.85,1605553.2174110413,39661
